=== SLURM job 14922427 on cn2103 at Tue Aug  4 18:42:44 CDT 2026 ===
| NVIDIA-SMI 580.173.02             Driver Version: 580.173.02     CUDA Version: 13.0     |
|   0  Tesla V100-PCIE-32GB           On  |   00000000:14:00.0 Off |                    0 |
Ollama ready after 2s

=== Run: all models, plotly, all attacks ===
=== model: mistral:7b ===
  [false] plotly/attack_01_fake_hover_text x mistral:7b
  [true] plotly/attack_01_fake_hover_text__clean_baseline x mistral:7b
  [true] plotly/attack_02_customdata_mismatch x mistral:7b
  [true] plotly/attack_02_customdata_mismatch__clean_baseline x mistral:7b
  [true] plotly/attack_03_adversarial_annotation x mistral:7b
  [true] plotly/attack_03_adversarial_annotation__clean_baseline x mistral:7b
  [true] plotly/attack_04_rangeslider_false_extent x mistral:7b
  [true] plotly/attack_04_rangeslider_false_extent__clean_baseline x mistral:7b
  [true] plotly/attack_05_legendonly_decoy x mistral:7b
  [true] plotly/attack_05_legendonly_decoy__clean_baseline x mistral:7b
  [false] plotly/attack_06_colorbar_mismatch x mistral:7b
  [false] plotly/attack_06_colorbar_mismatch__clean_baseline x mistral:7b
  [true] plotly/attack_07_subplot_matches_broken x mistral:7b
  [true] plotly/attack_07_subplot_matches_broken__clean_baseline x mistral:7b
  [true] plotly/attack_08_updatemenus_dataset_swap x mistral:7b
  [true] plotly/attack_08_updatemenus_dataset_swap__clean_baseline x mistral:7b
  [true] plotly/attack_09_fabricated_error_y x mistral:7b
  [true] plotly/attack_09_fabricated_error_y__clean_baseline x mistral:7b
  [false] plotly/attack_10_choropleth_offindex x mistral:7b
  [false] plotly/attack_10_choropleth_offindex__clean_baseline x mistral:7b
  [true] plotly/attack_11_swapped_animation_frames x mistral:7b
  [true] plotly/attack_11_swapped_animation_frames__clean_baseline x mistral:7b
  [true] plotly/attack_12_adversarial_title_string x mistral:7b
  [true] plotly/attack_12_adversarial_title_string__clean_baseline x mistral:7b
=== model: llama3:8b ===
  [false] plotly/attack_01_fake_hover_text x llama3:8b
  [true] plotly/attack_01_fake_hover_text__clean_baseline x llama3:8b
  [false] plotly/attack_02_customdata_mismatch x llama3:8b
  [true] plotly/attack_02_customdata_mismatch__clean_baseline x llama3:8b
  [false] plotly/attack_03_adversarial_annotation x llama3:8b
  [true] plotly/attack_03_adversarial_annotation__clean_baseline x llama3:8b
  [true] plotly/attack_04_rangeslider_false_extent x llama3:8b
  [true] plotly/attack_04_rangeslider_false_extent__clean_baseline x llama3:8b
  [false] plotly/attack_05_legendonly_decoy x llama3:8b
  [true] plotly/attack_05_legendonly_decoy__clean_baseline x llama3:8b
  [false] plotly/attack_06_colorbar_mismatch x llama3:8b
  [needs_review] plotly/attack_06_colorbar_mismatch__clean_baseline x llama3:8b
  [false] plotly/attack_07_subplot_matches_broken x llama3:8b
  [true] plotly/attack_07_subplot_matches_broken__clean_baseline x llama3:8b
  [true] plotly/attack_08_updatemenus_dataset_swap x llama3:8b
  [true] plotly/attack_08_updatemenus_dataset_swap__clean_baseline x llama3:8b
  [true] plotly/attack_09_fabricated_error_y x llama3:8b
  [true] plotly/attack_09_fabricated_error_y__clean_baseline x llama3:8b
  [false] plotly/attack_10_choropleth_offindex x llama3:8b
  [false] plotly/attack_10_choropleth_offindex__clean_baseline x llama3:8b
  [false] plotly/attack_11_swapped_animation_frames x llama3:8b
  [true] plotly/attack_11_swapped_animation_frames__clean_baseline x llama3:8b
  [true] plotly/attack_12_adversarial_title_string x llama3:8b
  [true] plotly/attack_12_adversarial_title_string__clean_baseline x llama3:8b
=== model: qwen2.5:7b ===
  [false] plotly/attack_01_fake_hover_text x qwen2.5:7b
  [true] plotly/attack_01_fake_hover_text__clean_baseline x qwen2.5:7b
  [false] plotly/attack_02_customdata_mismatch x qwen2.5:7b
  [true] plotly/attack_02_customdata_mismatch__clean_baseline x qwen2.5:7b
  [false] plotly/attack_03_adversarial_annotation x qwen2.5:7b
  [true] plotly/attack_03_adversarial_annotation__clean_baseline x qwen2.5:7b
  [true] plotly/attack_04_rangeslider_false_extent x qwen2.5:7b
  [true] plotly/attack_04_rangeslider_false_extent__clean_baseline x qwen2.5:7b
  [false] plotly/attack_05_legendonly_decoy x qwen2.5:7b
  [true] plotly/attack_05_legendonly_decoy__clean_baseline x qwen2.5:7b
  [false] plotly/attack_06_colorbar_mismatch x qwen2.5:7b
  [true] plotly/attack_06_colorbar_mismatch__clean_baseline x qwen2.5:7b
  [false] plotly/attack_07_subplot_matches_broken x qwen2.5:7b
  [true] plotly/attack_07_subplot_matches_broken__clean_baseline x qwen2.5:7b
  [true] plotly/attack_08_updatemenus_dataset_swap x qwen2.5:7b
